PERMNO,date,NCUSIP,TICKER,PRC,RET,ewretd,sprtrn
11995,20150507,19109810,COKE,113.00000,-0.002296,0.000736,0.003774
11995,20150508,19109810,COKE,113.20000,0.001770,0.008222,0.013458
11995,20150511,19109810,COKE,113.16000,-0.000353,-0.000928,-0.005090
11995,20150512,19109810,COKE,111.26000,-0.016790,-0.001243,-0.002950
11995,20150513,19109810,COKE,111.77000,0.004584,0.001063,-0.000305
11995,20150514,19109810,COKE,112.47000,0.006263,0.006333,0.010779
11995,20150515,19109810,COKE,112.52000,0.000445,0.001812,0.000768
11995,20150518,19109810,COKE,113.08000,0.004977,0.003155,0.003048
11995,20150519,19109810,COKE,113.87000,0.006986,-0.003874,-0.000643
11995,20150520,19109810,COKE,115.43000,0.013700,0.001343,-0.000931
11995,20150521,19109810,COKE,114.40000,-0.008923,0.000886,0.002338
11995,20150522,19109810,COKE,113.00000,-0.012238,-0.001796,-0.002234
11995,20150526,19109810,COKE,113.00000,0.000000,-0.009335,-0.010282
11995,20150527,19109810,COKE,113.55000,0.004867,0.006220,0.009163
11995,20150528,19109810,COKE,112.53000,-0.008983,-0.001049,-0.001267
11995,20150529,19109810,COKE,113.57000,0.009242,-0.002775,-0.006318
11995,20150601,19109810,COKE,122.50000,0.078630,0.000294,0.002059
11995,20150602,19109810,COKE,123.28000,0.006367,0.004342,-0.001009
11995,20150603,19109810,COKE,124.02000,0.006003,0.004530,0.002119
11995,20150604,19109810,COKE,124.31000,0.002338,-0.007435,-0.008623
11995,20150605,19109810,COKE,123.85000,-0.003700,0.002869,-0.001436
11995,20150608,19109810,COKE,123.02000,-0.006702,-0.003741,-0.006474
11995,20150609,19109810,COKE,121.71000,-0.010649,-0.002465,0.000418
11995,20150610,19109810,COKE,122.41000,0.005751,0.009202,0.012042
11995,20150611,19109810,COKE,123.89000,0.012090,0.000956,0.001739
11995,20150612,19109810,COKE,123.00000,-0.007184,-0.001984,-0.006994
11995,20150615,19109810,COKE,122.98000,-0.000163,-0.002188,-0.004622
11995,20150616,19109810,COKE,124.74000,0.014311,0.002475,0.005690
11995,20150617,19109810,COKE,130.44000,0.045695,0.000426,0.001980
11995,20150618,19109810,COKE,133.13000,0.020623,0.006344,0.009903
11995,20150619,19109810,COKE,137.21001,0.030647,-0.003150,-0.005304
11995,20150622,19109810,COKE,144.49001,0.053057,0.005041,0.006095
11995,20150623,19109810,COKE,144.25000,-0.001661,0.002622,0.000636
11995,20150624,19109810,COKE,143.32001,-0.006447,-0.006447,-0.007353
11995,20150625,19109810,COKE,145.53000,0.015420,-0.002810,-0.002974
11995,20150626,19109810,COKE,148.98000,0.023706,-0.004220,-0.000390
11995,20150629,19109810,COKE,149.63000,0.004363,-0.020714,-0.020866
11995,20150630,19109810,COKE,151.07001,0.009624,0.004031,0.002658
11995,20150701,19109810,COKE,155.41000,0.028728,-0.000112,0.006936
11995,20150702,19109810,COKE,153.33000,-0.013384,-0.002093,-0.000308
11995,20150706,19109810,COKE,154.74001,0.009196,-0.006921,-0.003862
11995,20150707,19109810,COKE,152.94000,-0.011632,-0.002197,0.006081
11995,20150708,19109810,COKE,153.47000,0.003465,-0.016735,-0.016653
11995,20150709,19109810,COKE,154.08000,0.003975,0.006800,0.002262
11995,20150710,19109810,COKE,164.35001,0.066654,0.011923,0.012338
